region,sex,black_or_not,chinese_or_not,other_race,mexican_or_not,age_under_30,income_in_range,n
east south central div,0,0,1,0,0,1,0,63
east south central div,0,1,0,0,0,0,0,10444
east south central div,0,1,0,0,0,0,1,80
east south central div,0,1,0,0,0,1,0,2890
east south central div,0,1,0,0,0,1,1,13
east south central div,0,1,0,0,1,0,0,28
east south central div,1,0,0,0,0,0,0,47432
east south central div,1,0,0,0,0,0,1,1058
east south central div,1,0,0,0,0,1,0,11379
east south central div,1,0,0,0,0,1,1,161
east south central div,1,0,0,0,1,0,0,483
east south central div,1,0,0,0,1,1,0,312
east south central div,1,0,0,1,0,0,0,666
east south central div,1,0,0,1,0,0,1,23
east south central div,1,0,0,1,0,1,0,291
east south central div,1,0,0,1,1,0,0,265
east south central div,1,0,0,1,1,1,0,146
east south central div,1,0,1,0,0,0,0,92
east south central div,1,0,1,0,0,1,0,66
east south central div,1,1,0,0,0,0,0,8358
east south central div,1,1,0,0,0,0,1,67
east south central div,1,1,0,0,0,1,0,2757
east south central div,1,1,0,0,0,1,1,18
east south central div,1,1,0,0,1,0,0,34
west south central div,0,0,0,0,0,0,0,80722
west south central div,0,0,0,0,0,0,1,2685
west south central div,0,0,0,0,0,1,0,16362
west south central div,0,0,0,0,0,1,1,363
west south central div,0,0,0,0,1,0,0,18104
west south central div,0,0,0,0,1,0,1,296
west south central div,0,0,0,0,1,1,0,6742
west south central div,0,0,0,0,1,1,1,74
west south central div,0,0,0,1,0,0,0,4505
west south central div,0,0,0,1,0,0,1,242
west south central div,0,0,0,1,0,1,0,1341
west south central div,0,0,0,1,0,1,1,28
west south central div,0,0,0,1,1,0,0,2998
west south central div,0,0,0,1,1,0,1,27
west south central div,0,0,0,1,1,1,0,1131
west south central div,0,0,1,0,0,0,0,762
west south central div,0,0,1,0,0,0,1,56
west south central div,0,0,1,0,0,1,0,237
west south central div,0,1,0,0,0,0,0,13879
west south central div,0,1,0,0,0,0,1,184
west south central div,0,1,0,0,0,1,0,3638
west south central div,0,1,0,0,0,1,1,35
west south central div,0,1,0,0,1,0,0,85
west south central div,0,1,0,0,1,1,0,66
west south central div,1,0,0,0,0,0,0,73954
west south central div,1,0,0,0,0,0,1,2818
west south central div,1,0,0,0,0,1,0,16725
west south central div,1,0,0,0,0,1,1,402
west south central div,1,0,0,0,1,0,0,16569
west south central div,1,0,0,0,1,0,1,287
west south central div,1,0,0,0,1,1,0,6920
west south central div,1,0,0,0,1,1,1,110
west south central div,1,0,0,1,0,0,0,4036
west south central div,1,0,0,1,0,0,1,207
west south central div,1,0,0,1,0,1,0,1587
west south central div,1,0,0,1,0,1,1,32
west south central div,1,0,0,1,1,0,0,3056
west south central div,1,0,0,1,1,0,1,26
west south central div,1,0,0,1,1,1,0,1260
west south central div,1,0,1,0,0,0,0,631
west south central div,1,0,1,0,0,0,1,51
west south central div,1,0,1,0,0,1,0,229
west south central div,1,1,0,0,0,0,0,11899
west south central div,1,1,0,0,0,0,1,195
west south central div,1,1,0,0,0,1,0,3854
west south central div,1,1,0,0,0,1,1,33
west south central div,1,1,0,0,1,0,0,58
west south central div,1,1,0,0,1,1,0,76
mountain division,0,0,0,0,0,0,0,61339
mountain division,0,0,0,0,0,0,1,1960
mountain division,0,0,0,0,0,1,0,12759
mountain division,0,0,0,0,0,1,1,300
mountain division,0,0,0,0,1,0,0,6798
mountain division,0,0,0,0,1,0,1,89
mountain division,0,0,0,0,1,1,0,2805
mountain division,0,0,0,0,1,1,1,27
mountain division,0,0,0,1,0,0,0,2861
mountain division,0,0,0,1,0,0,1,113
mountain division,0,0,0,1,0,1,0,747
mountain division,0,0,0,1,0,1,1,22
mountain division,0,0,0,1,1,0,0,1828
mountain division,0,0,0,1,1,0,1,22
mountain division,0,0,0,1,1,1,0,796
mountain division,0,0,1,0,0,0,0,484
mountain division,0,0,1,0,0,0,1,30
mountain division,0,0,1,0,0,1,0,153
mountain division,0,1,0,0,0,0,0,1962
mountain division,0,1,0,0,0,0,1,32
mountain division,0,1,0,0,0,1,0,599
mountain division,0,1,0,0,1,0,0,38
mountain division,0,1,0,0,1,1,0,32
mountain division,1,0,0,0,0,0,0,58114
mountain division,1,0,0,0,0,0,1,2030
mountain division,1,0,0,0,0,1,0,13460
mountain division,1,0,0,0,0,1,1,324
mountain division,1,0,0,0,1,0,0,6338
mountain division,1,0,0,0,1,0,1,76
mountain division,1,0,0,0,1,1,0,2937
mountain division,1,0,0,0,1,1,1,30
mountain division,1,0,0,1,0,0,0,2253
mountain division,1,0,0,1,0,0,1,87
mountain division,1,0,0,1,0,1,0,808
mountain division,1,0,0,1,0,1,1,21
mountain division,1,0,0,1,1,0,0,1924
mountain division,1,0,0,1,1,0,1,18
mountain division,1,0,0,1,1,1,0,965
mountain division,1,0,1,0,0,0,0,378
mountain division,1,0,1,0,0,0,1,18
mountain division,1,0,1,0,0,1,0,156
mountain division,1,1,0,0,0,0,0,2087
mountain division,1,1,0,0,0,0,1,43
mountain division,1,1,0,0,0,1,0,751
mountain division,1,1,0,0,0,1,1,11
mountain division,1,1,0,0,1,0,0,40
mountain division,1,1,0,0,1,1,0,40
pacific division,0,0,0,0,0,0,0,101699
pacific division,0,0,0,0,0,0,1,5321
pacific division,0,0,0,0,0,1,0,19822
pacific division,0,0,0,0,0,1,1,802
pacific division,0,0,0,0,1,0,0,19150
pacific division,0,0,0,0,1,0,1,554
pacific division,0,0,0,0,1,1,0,8027
pacific division,0,0,0,0,1,1,1,200
pacific division,0,0,0,1,0,0,0,19271
pacific division,0,0,0,1,0,0,1,1360
pacific division,0,0,0,1,0,1,0,4912
pacific division,0,0,0,1,0,1,1,232
pacific division,0,0,0,1,1,0,0,9857
pacific division,0,0,0,1,1,0,1,219
pacific division,0,0,0,1,1,1,0,4158
pacific division,0,0,0,1,1,1,1,79
pacific division,0,0,1,0,0,0,0,6842
pacific division,0,0,1,0,0,0,1,558
pacific division,0,0,1,0,0,1,0,1717
pacific division,0,0,1,0,0,1,1,74
pacific division,0,1,0,0,0,0,0,6501
pacific division,0,1,0,0,0,0,1,171
pacific division,0,1,0,0,0,1,0,1722
pacific division,0,1,0,0,0,1,1,43
pacific division,0,1,0,0,1,0,0,95
pacific division,0,1,0,0,1,1,0,71
pacific division,1,0,0,0,0,0,0,95786
pacific division,1,0,0,0,0,0,1,5646
pacific division,1,0,0,0,0,1,0,21660
pacific division,1,0,0,0,0,1,1,859
pacific division,1,0,0,0,1,0,0,17507
pacific division,1,0,0,0,1,0,1,517
pacific division,1,0,0,0,1,1,0,8134
pacific division,1,0,0,0,1,1,1,226
pacific division,1,0,0,1,0,0,0,16363
pacific division,1,0,0,1,0,0,1,1139
pacific division,1,0,0,1,0,1,0,5118
pacific division,1,0,0,1,0,1,1,230
pacific division,1,0,0,1,1,0,0,9827
pacific division,1,0,0,1,1,0,1,207
pacific division,1,0,0,1,1,1,0,4626
pacific division,1,0,0,1,1,1,1,77
pacific division,1,0,1,0,0,0,0,5459
pacific division,1,0,1,0,0,0,1,462
pacific division,1,0,1,0,0,1,0,1685
pacific division,1,0,1,0,0,1,1,76
pacific division,1,0,1,0,1,0,0,13
pacific division,1,1,0,0,0,0,0,6425
pacific division,1,1,0,0,0,0,1,203
pacific division,1,1,0,0,0,1,0,2158
pacific division,1,1,0,0,0,1,1,35
pacific division,1,1,0,0,1,0,0,92
pacific division,1,1,0,0,1,1,0,109
